type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11618901,-71.52520289,41.11618901,-71.52520289,,FALSE,FALSE,,,2.06,,,2017/07/05 15:16:40+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:16,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11580989,-71.52569993,41.11580989,-71.52569993,,FALSE,FALSE,,,2.54,,,2017/07/05 15:16:57+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:16,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11550513,-71.52613135,41.11550513,-71.52613135,,FALSE,FALSE,,,2.54,,,2017/07/05 15:17:11+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:17,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1151147,-71.5266574,41.1151147,-71.5266574,,FALSE,FALSE,,,2.06,,,2017/07/05 15:17:29+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:17,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11477884,-71.5270977,41.11477884,-71.5270977,,FALSE,FALSE,,,1.58,,,2017/07/05 15:17:44+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:17,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11443308,-71.52753901,41.11443308,-71.52753901,,FALSE,FALSE,,,1.58,,,2017/07/05 15:17:59+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:17,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11410862,-71.52799549,41.11410862,-71.52799549,,FALSE,FALSE,,,1.1,,,2017/07/05 15:18:14+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:18,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11380134,-71.5284005,41.11380134,-71.5284005,,FALSE,FALSE,,,0.62,,,2017/07/05 15:18:28+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:18,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11343974,-71.52889336,41.11343974,-71.52889336,,FALSE,FALSE,,,0.14,,,2017/07/05 15:18:44+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:18,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11311536,-71.52934522,41.11311536,-71.52934522,,FALSE,FALSE,,,0.14,,,2017/07/05 15:18:59+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:18,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11286726,-71.52966541,41.11286726,-71.52966541,,FALSE,FALSE,,,0.14,,,2017/07/05 15:19:10+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:19,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11256568,-71.53013639,41.11256568,-71.53013639,,FALSE,FALSE,,,-0.34,,,2017/07/05 15:19:25+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:19,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11230802,-71.53063872,41.11230802,-71.53063872,,FALSE,FALSE,,,0.14,,,2017/07/05 15:19:39+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:19,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11194039,-71.53120165,41.11194039,-71.53120165,,FALSE,FALSE,,,-0.34,,,2017/07/05 15:19:57+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:19,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11168298,-71.53161655,41.11168298,-71.53161655,,FALSE,FALSE,,,-0.82,,,2017/07/05 15:20:10+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:20,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11136413,-71.5322514,41.11136413,-71.5322514,,FALSE,FALSE,,,-0.34,,,2017/07/05 15:20:28+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:20,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11108677,-71.53276512,41.11108677,-71.53276512,,FALSE,FALSE,,,-0.34,,,2017/07/05 15:20:43+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:20,,
