,tsDate,spp,sex,X,tsHr,HrTimeHr,HrTempF,HrDewPtF,HrHumid,HrSeaLvlPrs,HrVisMPH,HrWindSpd,HrGustSpd,HrPrecip,HrWindDirCirc,HrWeek,HrBirds,HrDets,HrChkAgeMean,HrSigMean,DailyDate,TempF,DewPtF,Humid,SeaLvlPrs,VisM,WindSpd,GustSpd,Precip,WindDirCirc,Birds,Dets,ChkAgeMean,SigMean,Dawn,Dusk,Sunrise,Sunset
289,6/22/16,ROST,F,289,6/22/16 12:00,6/22/16 12:00,72,59,64,29.82,10,11.5,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
294,6/22/16,ROST,F,294,6/22/16 13:00,6/22/16 13:00,73.9,64,71,29.81,10,11.5,,0,220,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
299,6/22/16,ROST,F,299,6/22/16 14:00,6/22/16 14:00,71.35,64.2,78,29.815,10,13.8,,0,190,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
304,6/22/16,ROST,F,304,6/22/16 15:00,6/22/16 15:00,70,64.9,84,29.81,9,12.7,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
309,6/22/16,ROST,F,309,6/22/16 16:00,6/22/16 16:00,70,63,78,29.81,10,10.4,,0,230,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
314,6/22/16,ROST,F,314,6/22/16 17:00,6/22/16 17:00,69.1,62.1,78,29.84,10,9.2,16.1,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
319,6/22/16,ROST,F,319,6/22/16 18:00,6/22/16 18:00,69.1,60.1,73,29.85,10,3.5,,0,90,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
324,6/22/16,ROST,F,324,6/22/16 19:00,6/22/16 19:00,73,60.1,64,29.86,10,0,,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
329,6/22/16,ROST,F,329,6/22/16 20:00,6/22/16 20:00,69.1,62.1,78,29.88,10,3.5,,0,220,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
334,6/22/16,ROST,F,334,6/22/16 21:00,6/22/16 21:00,66,61,84,29.89,10,8.1,,0,190,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
339,6/22/16,ROST,F,339,6/22/16 22:00,6/22/16 22:00,64.9,60.1,84,29.92,10,9.2,,0,190,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
344,6/22/16,ROST,F,344,6/22/16 23:00,6/22/16 23:00,64.9,57.9,78,29.94,10,4.6,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
349,6/23/16,ROST,F,349,6/23/16 0:00,6/23/16 0:00,64.9,57.9,78,29.95,10,5.8,,0,220,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
354,6/23/16,ROST,F,354,6/23/16 1:00,6/23/16 1:00,64,57.9,80,29.96,10,5.8,,0,210,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
359,6/23/16,ROST,F,359,6/23/16 2:00,6/23/16 2:00,64,59,84,29.94,10,6.9,,0,230,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
364,6/23/16,ROST,F,364,6/23/16 3:00,6/23/16 3:00,64,59,84,29.94,10,8.1,,0,230,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
369,6/23/16,ROST,F,369,6/23/16 4:00,6/23/16 4:00,63,59,87,29.93,10,5.8,,0,230,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
374,6/23/16,ROST,F,374,6/23/16 5:00,6/23/16 5:00,63,59,87,29.93,10,4.6,,0,260,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,0,0,,,,,,
